;number;text;x1;y1;x2;y2;fixations;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;pupil;fix_duration_avg;fix_distance
0;0;In;42;454;67;472;[];0.0;0.0;0;;;463.0;;1;597.872251161539;;;[]
1;1;order;86;453;158;472;[];0.0;0.0;0;;;462.5;0.5;1;507.4398753635414;;;[]
2;2;to;177;454;203;472;[];0.0;0.0;0;;;463.0;0.5;1;462.80280369609517;;;[]
3;3;make;220;453;278;472;[1640.0];0.2754;0.2754;1;16.5622;16.8683;462.5;0.5;1;388.5937661735793;16.72;0.2754;[0.0]
4;4;it;297;453;322;472;[];0.0;0.0;0;;;462.5;0.0;1;345.21694730845184;;;[]
5;5;personalized,;341;453;529;477;[1641.0];0.2266;0.2266;1;19.768;17.9768;465.0;2.5;1;144.20498156778913;18.87;0.2266;[13.765440000000012]
6;6;I;552;454;562;472;[];0.0;0.0;0;;;463.0;2.0;1;117.10899499597119;;;[]
7;7;will;580;453;637;472;[];0.0;0.0;0;;;462.5;0.5;1;66.20571507782698;;;[]
8;8;need;657;453;713;472;[1642.0];0.2266;0.2266;1;19.0224;18.981;462.5;0.0;1;61.42208000000005;19.0;0.2266;[40.05192548272305]
9;9;more;730;458;788;472;[];0.0;0.0;0;;;465.0;2.5;1;91.84965927517862;;;[]
10;10;information.;807;453;979;472;[1644.0];0.21;0.21;1;17.6078;19.2337;462.5;2.5;1;157.7409417651816;18.42;0.21;[20.89215999999999]
11;11;Please;1001;453;1088;472;[1643.0];0.2266;0.2266;1;19.4809;19.3781;462.5;0.0;1;344.8060183769512;19.43;0.2266;[14.996641344301041]
12;12;remember;1109;453;1223;472;[];0.0;0.0;0;;;462.5;0.0;1;451.48874793173576;;;[]
13;13;not;214;553;255;571;[];0.0;0.0;0;;;562.0;99.5;2;407.17974280281476;;;[]
14;14;to;274;553;300;571;[];0.0;0.0;0;;;562.0;0.0;2;362.23825163691146;;;[]
15;15;share;320;552;390;571;[];0.0;0.0;0;;;561.5;0.5;2;272.3431862723325;;;[]
16;16;personally;409;552;555;576;[1645.0, 1649.0, 1650.0];0.8242;0.2422;3;18.9959;19.0812;564.0;2.5;2;108.31392850860132;19.04;0.2747;[11.123199999999997, 18.444799999999987, 5.276160000000004]
17;17;identifiable;575;552;750;571;[1646.0, 1651.0];0.5488;0.21;2;18.3357;17.1232;561.5;2.5;2;18.57791999999995;17.73;0.2744;[6.095360000000028, 18.57791999999995]
18;18;information,;770;552;941;574;[1647.0, 1648.0];0.5986;0.21;2;19.5508;18.107;563.0;1.5;2;109.87321379192655;18.83;0.2993;[20.779520000000048, 4.334079999999972]
19;19;though.;964;552;1061;576;[];0.0;0.0;0;;;564.0;1.0;2;302.8615338879575;;;[]
