;1;2;3;4;5;6;7;8
31;0.25225205826212377;0.1964083114593977;0.24190487409931544;0.2238443168932158;0.200776663463186;0.27290464330610165;0.21807526411402708;0.33934357375882424
30;0.20404709115755618;0.15117476214130574;0.19626943428237362;0.17291596351738708;0.1341706491391733;0.1951965291839712;0.15938304677904533;0.3163788487178306
29;0.16841583864740817;0.15127865602107401;0.1776961281570971;0.1507034589413975;0.10284120100401119;0.17368570313759968;0.10082795046497187;0.2729404310185949
28;0.22445917923766;0.17327264709260493;0.16893905188767522;0.1921011037140832;0.16754639153391065;0.23123906110398762;0.1453176666889642;0.3504124203773195
27;0.20425794921228174;0.11863045371562604;0.22355968006554752;0.17833975331454402;0.1485980474544004;0.22868426658393026;0.16800367963833565;0.3211435642742357
26;0.24548274633801775;0.20227187911792197;0.24770664349956772;0.19826002208528884;0.17984610909977158;0.24194572355777666;0.18226772491877807;0.32767525858787694
25;0.21450176582724714;0.19751966560412898;0.23892690723437418;0.20775062748332176;0.19114892576407824;0.24445681119157978;0.2101109130022369;0.36893268817237596
24;0.21576915303472657;0.17845194490430522;0.24195940657841394;0.20627891569691598;0.1983374222980414;0.24563220329447405;0.1816523092758242;0.3338478609635362
23;0.21279345628832363;0.15556172487828215;0.2090413688120338;0.20700291769639204;0.16896600400515013;0.22200282066691387;0.15742624615444364;0.3768768327805202
22;0.2202385458448133;0.1638734404314002;0.19893121280186352;0.1895135107469828;0.18168215143536504;0.208396533917809;0.1767630883802121;0.3795385324248092
21;0.23498036211679332;0.1974037466466792;0.15929690357211634;0.21551551019017284;0.17149066384400752;0.2319560520941202;0.15584934602628467;0.3545229145685851
20;0.23611052966489024;0.1926844023653234;0.20790288896751;0.19565265124959974;0.20624231332093054;0.2193031016330903;0.16799599825933317;0.3734502007877622
19;0.25108115788357915;0.20529075354428802;0.20994152819609355;0.21795292389996304;0.21444283647977355;0.2457690139007032;0.19331601961187764;0.4046888132157486
18;0.2234930740973352;0.1996770864852723;0.22569433992766808;0.20001010922670692;0.19861057704829205;0.2325250037370361;0.18916591120073373;0.3609239985400183
17;0.2557537632043863;0.21197784057883495;0.24116457958880858;0.20880236962199833;0.20116655712855208;0.24345878526913;0.2020236268859603;0.39038667234186475
16;0.25026687511179546;0.20937844406840608;0.22650404932882315;0.21355525728495364;0.2217379553327382;0.24271777771457886;0.22698345706124917;0.3611758580313258
15;0.23853450203328833;0.2172009867378936;0.236880960453648;0.215435952285966;0.20816071805263628;0.2477897675650551;0.1831134069398068;0.37232377816707524
14;0.23091925838249636;0.19076361935126684;0.21072683431757727;0.19580736029818085;0.1906008502434819;0.225262042099568;0.20663260003542436;0.35794890053425465
13;0.21401149165838323;0.16839610064302696;0.20356678458718197;0.17220337522261384;0.16323344582819968;0.22213444324292902;0.19035783389952568;0.317078840772317
12;0.20571709358935156;0.19460947948072288;0.2011773282792541;0.1956875785974337;0.20189042074637184;0.22957085289467716;0.2001935701991768;0.3625360961558708
11;0.15748477643490016;0.16848375228458512;0.15540081459709007;0.14962006335156616;0.13791231147573849;0.17526084599053546;0.15789036993666214;0.31562822237477234
10;0.21161479056607801;0.1979973022265199;0.2192460629160545;0.18065020080390942;0.1762897602311748;0.23771088842055738;0.1949858029895682;0.37485433944854346
9;0.20804865025042701;0.18540789778839023;0.1869358079350957;0.19257025205870812;0.1743404485464212;0.21523595779580168;0.2040330325657034;0.3507472075724284
8;0.21449198121127383;0.20696430892346165;0.20950648681572895;0.20078183955984405;0.17108420637502678;0.20491770761984435;0.21307146223006304;0.35966529552361237
7;0.20538116003538792;0.23697678034473624;0.21468412603036383;0.20181374466995794;0.19369794272137958;0.2326710611875625;0.20144486799382258;0.3654982712398686
6;0.20436223484544824;0.20870990988193885;0.20671026697364323;0.18887084879374033;0.18982069811737348;0.20395553919793222;0.1707901409510837;0.3617586772943442
5;0.18278594898186148;0.1731153253941116;0.19787190838170726;0.2107787490723099;0.16980833107966217;0.18535051583034048;0.14311791307671223;0.3267494447272858
4;0.24388197626135683;0.23520829272520638;0.25258718067003605;0.25871912754014814;0.22669819257601875;0.24111713027243406;0.21447206255183202;0.3614027769885908
3;0.25318964068345984;0.2243306573511816;0.2585035653148693;0.27726335151071524;0.23775666333266224;0.2719759537965243;0.2402192076870857;0.3933147455570256
2;0.1683414189392518;0.15839105604563922;0.189328701212155;0.19417428209736554;0.17298241742676282;0.18414372601945933;0.1301613032711364;0.27140833765041034
1;0.2235301398698292;0.16344479196727113;0.20762974602232304;0.2136102224382633;0.15135202664607605;0.19113767827020844;0.13201436981750028;0.3430873320505533
0;-0.01865334227898104;-0.07429686795924156;-0.055457390277228985;-0.09454704715870342;-0.06316486651490728;-0.07236307239464629;-0.1134436347972625;0.11927933288083002
