;number;text;x1;y1;x2;y2;fixations;fix_duration;y;diff_y;line;distance;fix_number;fix_duration_avg;pupil_l;pupil_r;pupil
0;0;A;33;454;46;472;[];0.0;463.0;;1;561.04;0;;;;
1;1;""",nillion,""";66;453;193;472;[860, 861, 862, 863, 875, 876, 877, 878];3.1226;462.5;0.5;1;414.03999999999996;8;0.3903;15.6554;15.8606;15.76
2;2;is;215;453;240;472;[];0.0;462.5;0.0;1;367.03999999999996;0;;;;
3;3;not;259;454;300;472;[864];0.3882;463.0;0.5;1;307.03999999999996;1;0.3882;16.286;16.2824;16.28
4;4;a;319;458;330;472;[879];0.4209;465.0;2.0;1;277.03999999999996;1;0.4209;16.2901;16.0308;16.16
5;5;standard;350;453;465;472;[865];0.4204;462.5;2.5;1;142.03999999999996;1;0.4204;17.7317;17.3527;17.54
6;6;or;484;458;510;472;[866, 880];0.7275;465.0;2.5;1;97.03999999999996;2;0.3638;16.2057;16.1957;16.2
7;7;recognized;532;453;675;477;[867, 881];0.8899;465.0;0.0;1;0.0;2;0.4449;15.9515;15.1512;15.55
8;8;numerical;694;453;824;472;[868];0.2747;462.5;2.5;1;86.96000000000004;1;0.2747;16.3313;15.1218;15.73
9;9;term,,;844;454;911;475;[869];0.3237;464.5;2.0;1;236.96000000000004;1;0.3237;15.908;15.2901;15.6
10;10;can;934;458;975;472;[];0.0;465.0;0.5;1;326.96000000000004;0;;;;
11;11;you;994;458;1035;477;[870];0.3071;467.5;2.5;1;386.96000000000004;1;0.3071;16.51;15.4796;15.99
12;12;specify;1055;453;1155;477;[871];0.3882;465.0;2.5;1;447.96000000000004;1;0.3882;15.8973;14.0668;14.98
13;13;what;1172;453;1230;472;[];0.0;462.5;2.5;1;564.96;0;;;;
14;14;you;514;557;555;576;[874];0.1946;566.5;104.0;2;106.60115258595029;1;0.1946;14.1617;16.2263;15.19
15;15;mean;573;557;630;571;[872];0.437;564.0;2.5;2;93.03571428571428;1;0.437;14.9974;15.266;15.13
16;16;by;649;552;675;576;[];0.0;564.0;0.0;2;97.52398981684414;0;;;;
17;17;this,?;694;552;765;571;[873];0.356;561.5;2.5;2;123.7429941038923;1;0.356;14.7071;15.1538;14.93
