;1;2;3;4;5;6;7;8
11;0.15332941566092773;0.14722152516440232;0.23349994409141495;0.1415527865280208;0.0889060616025854;0.09719380453648163;-0.016753791998644837;0.24928567178148425
10;0.19200309689642864;0.20433923651052785;0.1646930348935745;0.07542153890228992;0.11912950042961774;0.18477663080297702;0.10060330982674834;0.2242817698682517
9;0.17394608312023063;0.23088925012399988;0.1894864725276261;0.037098414087373056;0.09167760908943168;0.15558417955172937;0.07508517690037006;0.19575088488455464
8;0.1767057551597846;0.2161574649981974;0.2792736225620295;0.06948024316057601;0.11956570113261333;0.1844811814471915;0.06106398196654667;0.14539669223305562
7;0.13616005564225328;0.18767863565762352;0.1955996781434157;0.11133621089172772;0.14616135041061762;0.15977631153166227;0.11248515529035816;0.21388710344094056
6;0.18344763825130203;0.2206444390925631;0.17751577778253932;0.121033142209534;0.13913592338825878;0.19390158720682854;0.1375116736465148;0.1856084403081497
5;0.2010409720916465;0.23263075398979288;0.17345729221560666;0.151025180469624;0.14943808075799023;0.18767369888683377;0.19313238749940306;0.2411127261750162
4;0.19000561991050147;0.24643034239436892;0.17701051704746196;0.062043909488119324;0.15957310043929993;0.19599356204233084;0.12001407336945785;0.18176934242716586
3;0.10120429537180582;0.16793419439315563;0.20875007055153333;0.08010435564768895;0.11432517093512473;0.17832161791545362;0.18380345704724552;0.19127656525778217
2;0.2200682314045275;0.27440318656117557;0.31958262495955847;0.08883416934538019;0.18859714550246168;0.26612223873184115;0.22058272280319002;0.2400148863253533
1;0.2526104675807246;0.22104249142295626;0.2746943681453607;0.029889440651308764;0.08714934750874966;0.23807233151722443;0.19832573780144666;0.27813220806789324
0;0.30615071332572097;0.2877486750854054;0.2753920456753184;0.19653504171309596;0.21163819885529986;0.25454482601500744;0.22902667822928055;0.30655452777522463
