;1;2;3;4;5;6;7;8
11;0.18902015765622082;0.27273336713408414;0.2116513221030544;0.2364599711076024;0.150014267544982;0.2383924405672524;0.23074809957094305;0.3521316007940463
10;0.1574955171527625;0.2076492434310855;0.17887008232428586;0.16516228744421613;0.13298341785132298;0.19973015230100616;0.23334313355924505;0.17383783258084717
9;0.16380451763259601;0.1799727592947863;0.15594630795751122;0.08653421071295507;0.12077327966601888;0.19266070308766492;0.2472964068294966;0.2155412343316483
8;0.10232837260425741;0.17409770365157923;0.12199323764589118;0.06352916503874632;0.1076803652762723;0.2074910757001323;0.19961536860146883;0.18050440696378073
7;-0.011170821171354092;0.1822928456205891;0.16261203533266028;0.06835130666979826;0.03378629240971449;0.17945225168152543;0.12634309498692461;0.24557660605216183
6;0.1552673371484321;0.25784403084310065;0.22116616561955899;0.14226163739034892;0.15560394159403534;0.27040308288053355;0.29322560840060813;0.2661976022016285
5;0.08447956287610238;0.21615471726463456;0.2593960144715085;0.1766392287021443;0.08981810447474776;0.20741426211117978;0.25597200934414444;0.20367760006781757
4;0.0585346370528038;0.17592125356780314;0.18196851711707177;0.09871492046348102;0.08094484449174343;0.17471809979103217;0.2254061225989952;0.12328863774342717
3;0.03905390950838708;0.09013903399353118;0.18384748795927278;0.010933248395510596;-0.0016330711197339632;0.06422107069190301;0.1618616477220487;0.1027912586695093
2;0.06330868518397675;0.125588161557563;0.19039644906345812;0.03193880935354179;-0.026799004504826137;0.15941802806169192;0.13644503115853404;0.16274811231497324
1;0.05679854059716691;0.07754787132792247;0.1317769911405079;0.0014006285250304279;-0.08965879095633718;0.03539657390571881;-0.018728340749757294;0.19837827335271832
0;0.30588622781540215;0.3142773949167221;0.3474977059308876;0.28503719324621474;0.2521387107152408;0.34416434056485706;0.3061281714288925;0.387519052453892
