;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;139.1;False;False;62.4;63.5;;;17.28;4
1;139.3;False;True;13.58;9.7;;;;0
2;152.2;False;True;15.7;9.06;;;;0
3;152.1;False;False;22.06;34.66;;;16.92;1
4;168.2;False;True;12.09;9.73;;;;0
5;168.1;False;False;49.17;73.94;;;15.62;2
6;165.3;False;False;47.92;56.0;;;16.04;1
7;165.1;False;False;21.95;45.33;;;7.79;1
8;176.1;False;False;61.98;89.13;;;16.66;2
9;176.3;False;False;12.09;43.6;;;;0
10;144.2;False;False;199.68;283.19;44.31;116.01;18.74;3
11;144.1;False;False;12.25;64.33;;;;0
12;150.2;False;True;19.57;7.34;;;;0
13;150.1;False;False;28.98;62.58;;;;0
14;141.3;False;False;6.16;51.19;;;;0
15;141.1;False;False;6.18;229.66;;;;0
16;160.2;False;True;71.44;54.93;;;19.47;1
17;160.1;False;True;24.66;24.17;;;;0
18;163.2;False;True;215.46;214.03;13.91;12.08;12.08;1
19;163.1;False;False;29.48;43.27;;;26.7;1
20;147.3;False;False;15.03;66.3;;;;0
21;147.1;False;False;18.77;50.79;;;;0
22;178.1;False;True;25.74;16.29;;;;0
23;178.3;False;False;20.04;96.62;;;;0
24;156.1;False;False;20.68;24.13;;;;0
25;156.2;False;False;30.28;136.94;;;;0
26;145.1;False;True;42.27;33.66;;;10.01;2
27;145.2;False;False;63.69;152.06;;;16.06;2
28;164.1;False;True;16.35;13.37;;;;0
29;164.3;False;False;70.21;113.74;;;12.17;2
30;180.2;False;False;34.39;38.09;;;32.54;1
31;180.1;False;False;19.18;31.3;;;;0
32;158.2;False;True;23.5;9.67;;;;0
33;158.1;False;False;25.29;301.17;;;21.56;1
34;172.2;False;False;33.06;144.8;;;25.99;1
35;172.1;False;False;31.49;53.44;;;;0
36;179.2;False;True;22.74;12.0;;;;0
37;179.1;False;False;23.52;192.45;;;;0
38;142.1;False;False;14.24;35.32;;;;0
39;142.2;False;True;26.68;23.0;;;;0
40;177.3;False;False;25.46;37.24;;;;0
41;177.1;False;True;40.69;28.58;;;1.16;1
42;173.3;False;True;38.13;10.71;;;;0
43;173.1;False;False;18.62;135.6;;;;0
44;159.1;False;False;33.77;37.12;;;;0
45;159.2;False;False;14.82;240.58;;;;0
46;157.1;False;False;11.52;14.05;;;;0
47;157.3;False;False;12.68;77.6;;;;0
48;174.1;False;True;19.91;13.71;;;;0
49;174.2;False;False;21.2;79.03;;;;0
50;166.2;False;False;12.94;77.26;;;;0
51;166.1;False;False;18.34;258.55;;;13.69;1
52;140.1;False;True;16.77;3.51;;;;0
53;140.3;False;False;22.46;68.56;;;;0
54;138.1;False;True;28.61;18.74;;;;0
55;138.2;False;True;16.38;6.49;;;;0
56;169.1;False;False;26.96;34.32;;;25.24;1
57;169.2;False;False;21.4;148.75;;;19.65;1
58;153.1;False;False;11.52;371.94;;;;0
59;153.3;False;False;14.99;43.62;;;;0
