;ID;x;y;duration;pupil_r;pupil_l;word;word_number;distance
2607;2609;432.76800000000003;340.40832;0.22656;15.0632;13.0448;;;
2608;2610;309.9008;421.59104;0.3396;14.503;14.0422;python;1.0;28.40895999999998
2609;2611;384.4352;448.3072;0.51782;13.861;13.1625;def;2.0;2.9657664911452426
2610;2612;537.8944;446.13632;0.45288;14.4566;14.2606;n;5.0;2.1055999999999813
2611;2613;533.3376;450.89792;0.32349;14.4303;13.3835;if;4.0;0.0
2612;2614;531.9552;427.4688;0.38843;13.9975;13.4519;n;5.0;19.288903039830974
2613;2615;579.8016;483.31776;0.16162;11.5437;9.7007;0;7.0;16.774089959744476
2614;2616;625.088;440.4736;0.67944;9.3588;12.1098;n;9.0;12.742999684532721
2615;2617;765.7088;454.43072;0.6792;13.9342;7.1516;return;12.0;0.7087999999999965
2616;2618;791.6032;437.03296;0.46875;13.8998;7.2192;ifn;14.0;12.973109750618773
2617;2619;795.648;446.54592;0.51782;13.7223;7.1516;ifn;14.0;3.4540799999999763
2618;2620;922.4191999999999;457.25696;0.84106;12.9188;7.1516;return;17.0;0.0
2619;2621;494.1312;514.3552;0.30737;13.2728;6.8526;tribonacci(n):;3.0;39.35519999999997
2620;2622;401.7664;504.43264;0.38818;12.6346;6.8144;tribonacci(n):;3.0;29.432639999999992
2621;2623;936.6528;460.21632;0.45288;13.8491;7.1516;return;17.0;0.0
2622;2624;379.8144;519.94624;0.38794;12.7728;6.6749;tribonacci(n-1);20.0;36.503596226914425
2623;2625;453.2736;495.50336;0.38818;13.4303;7.0325;tribonacci(n-1);20.0;59.49664000000001
2624;2626;506.1504;477.10208;0.51758;12.7257;6.6749;tribonacci(n-1);20.0;77.89792
2625;2627;384.35839999999996;406.58944;0.24268;11.7553;6.2578;def;2.0;43.47457613449035
2626;2628;275.5584;413.25568;0.43652;3.8521;6.4152;***;0.0;35.744320000000016
2627;2629;450.8672;420.3008;0.24268;12.8201;6.7335;tribonacci(n):;3.0;29.69920000000002
2628;2630;546.6752;391.8336;0.37207;12.8471;6.6749;n;5.0;53.16640000000001
2629;2631;465.74080000000004;401.89952;0.71216;12.4587;7.0931;tribonacci(n):;3.0;48.100480000000005
2630;2632;483.7504;426.72128;0.33984;12.9631;7.1516;tribonacci(n):;3.0;23.27872000000002
2631;2633;429.5808;393.33888;0.80835;12.0254;6.6749;tribonacci(n):;3.0;56.66111999999998
2632;2634;418.41920000000005;480.57344;0.30762;11.6753;6.4205;tribonacci(n):;3.0;5.573440000000005
2633;2635;872.5632;466.2272;0.42065;13.2621;6.9812;2:;16.0;0.0
2634;2636;980.2368;483.25632;0.29126;8.0078;6.6749;return;19.0;13.256320000000017
2635;2637;951.4495999999999;457.14432;0.6792;12.6064;6.5949;1;18.0;0.5504000000000815
2636;2638;873.472;449.024;0.9541;13.5093;6.9718;2:;16.0;1.975999999999999
2637;2639;695.1168;429.96736;0.84131;12.0846;6.6749;1:;11.0;21.032640000000015
2638;2640;775.9359999999999;442.86976;0.29102;11.4144;6.2578;0;13.0;8.130240000000015
2639;2641;812.9792;444.88704;0.37207;13.6806;7.1516;ifn;14.0;5.112959999999987
2640;2642;937.5744;467.59936;0.33984;13.8126;7.0931;return;17.0;0.0
2641;2643;950.8224;510.06464;0.32373;11.3486;6.2578;1;18.0;40.0819425688127
2642;2644;904.8703999999999;503.61344;0.51709;11.7138;6.0347;return;17.0;33.613440000000026
2643;2645;928.5375999999999;486.46144;0.38818;12.445;6.5194;return;17.0;16.461439999999982
2644;2646;876.9664;483.28704;0.43652;11.6932;6.4151;2:;16.0;13.28703999999999
2645;2647;817.1008;497.0496;0.21045;13.369;6.796;ifn;14.0;27.049599999999998
2646;2648;421.696;492.58496;0.3396;11.7222;6.5175;tribonacci(n):;3.0;17.584960000000024
2647;2649;686.3488;530.15552;0.37183;12.0677;6.2578;1:;11.0;60.17817750572381
2648;2650;782.4896;585.2672;0.16187;11.613;6.2578;tribonacci(n-3);24.0;5.2672000000000025
2649;2651;518.784;567.25504;0.3562;12.955;13.7448;tribonacci(n-1);20.0;0.0
2650;2652;510.592;563.8656;0.24243;12.5297;13.4899;tribonacci(n-1);20.0;0.0
2651;2653;639.232;518.5024;0.25903;14.0918;14.4497;tribonacci(n-2);22.0;36.497600000000034
