;number;text;x1;y1;x2;y2;fixations;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;pupil;fix_duration_avg;fix_distance
0;0;The;49;354;91;373;[];0.0;0.0;0;;;363.5;;1;546.3379391131521;;;[]
1;1;consumption;110;354;271;378;[np.float64(2030.0), np.float64(2031.0)];0.5181;0.1943;2;13.8164;16.5288;366.0;2.5;1;372.11253743243634;15.17;0.259;[np.float64(9.809280000000001), np.float64(0.0)]
2;2;per;290;359;331;378;[];0.0;0.0;0;;;368.5;2.5;1;316.14694765948053;;;[]
3;3;person;350;359;436;378;[np.float64(2032.0)];0.372;0.372;1;14.6792;16.2369;368.5;0.0;1;223.30675877457531;15.46;0.372;[np.float64(0.0)]
4;4;per;455;359;496;378;[];0.0;0.0;0;;;368.5;0.0;1;176.48529829537182;;;[]
5;5;year;515;359;571;378;[np.float64(2033.0), np.float64(2034.0)];1.2778;1.035;2;14.8058;16.893;368.5;0.0;1;133.69181169543026;15.85;0.6389;[np.float64(0.0), np.float64(18.038720000000012)]
6;6;varies;589;354;676;373;[];0.0;0.0;0;;;363.5;5.0;1;128.58592;;;[]
7;7;by;695;354;721;378;[np.float64(2035.0)];0.2585;0.2585;1;14.8904;17.0399;366.0;2.5;1;143.54052150666868;15.97;0.2585;[np.float64(0.9996085505837986)]
8;8;country.;740;355;852;378;[np.float64(2036.0)];0.2911;0.2911;1;14.2446;16.708;366.5;0.5;1;170.87932968737448;15.48;0.2911;[np.float64(0.0)]
9;9;In;876;355;901;373;[];0.0;0.0;0;;;364.0;2.5;1;284.70197701176306;;;[]
10;10;the;920;354;961;373;[np.float64(2037.0)];0.3235;0.3235;1;14.2544;16.2283;363.5;0.5;1;324.5674976247721;15.24;0.3235;[np.float64(0.0)]
11;11;Unites;980;354;1066;373;[];0.0;0.0;0;;;363.5;0.0;1;380.40138342861803;;;[]
12;12;states;1086;355;1171;373;[np.float64(2038.0), np.float64(2039.0)];0.2907;0.2421;2;12.7603;14.5728;364.0;0.5;1;481.49688235169964;13.67;0.1453;[np.float64(0.0), np.float64(0.8393599999999992)]
13;13;it;1191;354;1216;373;[];0.0;0.0;0;;;363.5;0.5;1;583.3577493394654;;;[]
14;14;was;32;458;75;472;[];0.0;0.0;0;;;465.0;101.5;2;547.7899454666964;;;[]
15;15;0.23kg;94;453;181;477;[np.float64(2040.0), np.float64(2041.0)];0.7762;0.2909;2;13.4674;13.006;465.0;0.0;2;441.6752204441702;13.24;0.3881;[np.float64(0.0), np.float64(4.160320000000013)]
