;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;554.3;False;True;30.91;26.32;;;22.14;2
1;554.1;False;False;35.05;138.64;;;25.09;4
2;570.1;False;True;26.46;17.72;;;13.57;1
3;570.2;False;False;80.28;241.47;;;26.99;1
4;546.3;False;False;23.4;125.55;;;;0
5;546.1;False;False;27.57;84.18;;;;0
6;566.2;False;True;25.36;24.51;;;17.16;3
7;566.1;False;False;18.27;173.11;;;;0
8;576.4;False;False;23.56;35.71;;;;0
9;576.1;False;False;33.6;101.09;;;17.07;2
10;559.1;False;True;41.51;41.46;;;20.51;3
11;559.3;False;False;67.41;112.74;;;19.84;2
12;575.3;False;True;42.84;31.24;;;14.26;1
13;575.1;False;False;23.89;32.32;;;;0
14;573.1;False;False;50.95;58.65;;;24.31;1
15;573.3;False;False;24.26;63.79;;;;0
16;579.3;False;False;49.22;74.66;;;29.37;1
17;579.1;False;True;33.89;11.89;;;;0
18;558.1;False;False;103.75;118.89;22.42;32.75;25.39;1
19;558.3;False;False;41.08;63.24;;;;0
20;544.1;False;True;23.22;14.19;;;;0
21;544.3;False;False;18.86;86.88;;;;0
22;542.1;False;False;17.78;21.31;;;;0
23;542.4;False;False;35.66;215.77;;;27.47;1
24;574.3;False;True;121.76;121.79;21.89;13.28;19.62;1
25;574.1;False;True;30.62;28.32;;;;0
26;564.1;False;False;34.33;38.4;;;24.6;1
27;564.6;False;False;25.83;31.74;;;;0
28;563.1;False;False;27.16;34.12;;;;0
29;563.3;False;False;31.07;84.03;;;;0
30;556.4;False;True;32.99;2.62;;;;0
31;556.1;False;False;22.45;24.06;;;;0
32;550.1;False;True;35.95;23.21;;;21.78;1
33;550.2;False;False;27.45;1601.17;;;;0
34;580.1;False;False;36.77;47.41;;;29.02;4
35;580.2;False;False;29.21;34.6;;;;0
36;569.1;False;False;144.58;323.04;15.5;185.9;15.5;1
37;569.2;False;False;77.82;80.13;;;20.08;1
38;584.1;False;False;28.79;402.32;;;;0
39;584.3;False;False;65.95;84.01;;;20.84;7
40;571.1;False;True;33.15;7.43;;;;0
41;571.2;False;False;29.73;38.15;;;;0
42;567.4;False;False;33.61;40.73;;;;0
43;567.1;False;False;31.61;45.35;;;;0
44;581.1;False;False;30.44;30.72;;;;0
45;581.3;False;False;47.11;107.28;;;21.79;1
46;548.2;False;False;28.37;54.67;;;;0
47;548.1;False;False;31.31;46.56;;;;0
48;541.1;False;False;132.02;265.39;35.13;160.29;35.13;1
49;541.2;False;False;32.09;90.22;;;;0
50;565.2;False;False;23.28;44.24;;;;0
51;565.1;False;True;31.53;29.21;;;;0
52;560.3;False;False;25.3;87.53;;;;0
53;560.1;False;False;19.33;97.59;;;;0
54;561.2;False;False;31.3;51.92;;;;0
55;561.1;False;False;22.63;40.15;;;;0
56;553.2;False;True;25.68;23.83;;;;0
57;553.1;False;True;26.61;22.95;;;;0
58;585.3;False;False;24.44;70.61;;;;0
59;585.1;False;False;27.61;38.66;;;;0
