;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;302.1;False;False;84.52;93.03;;;20.51;1
1;302.2;False;False;31.8;56.77;;;;0
2;278.1;False;False;16.07;21.31;;;;0
3;278.2;False;False;18.36;47.64;;;;0
4;306.1;False;True;42.36;35.86;;;10.15;1
5;306.2;False;False;32.56;37.41;;;29.44;1
6;275.2;False;False;18.39;20.14;;;;0
7;275.1;False;True;141.85;134.17;13.91;9.95;9.95;1
8;294.1;False;False;19.83;22.05;;;;0
9;294.2;False;False;25.5;45.06;;;;0
10;276.2;False;False;21.01;331.98;;;;0
11;276.1;False;False;19.64;24.09;;;;0
12;307.1;False;False;19.08;26.48;;;;0
13;307.2;False;False;17.05;100.66;;;;0
14;291.1;False;False;13.52;54.24;;;;0
15;291.2;False;False;24.6;44.43;;;;0
16;315.2;False;True;22.96;17.65;;;;0
17;315.1;False;False;25.26;139.17;;;;0
18;286.2;False;False;20.18;65.22;;;;0
19;286.1;False;False;14.77;20.02;;;;0
20;299.1;False;True;18.31;18.18;;;;0
21;299.2;False;True;13.56;8.77;;;;0
22;274.1;False;False;22.27;25.79;;;;0
23;274.2;False;False;25.0;128.25;;;;0
24;289.2;False;True;24.29;13.02;;;;0
25;289.1;False;True;19.87;19.49;;;;0
26;304.1;False;True;20.8;12.19;;;;0
27;304.2;False;False;5.36;58.45;;;;0
28;297.1;False;False;13.9;20.1;;;;0
29;297.2;False;False;15.4;37.02;;;;0
30;272.2;False;True;24.3;19.08;;;18.83;1
31;272.1;False;False;19.22;26.3;;;;0
32;313.2;False;True;18.48;12.34;;;;0
33;313.1;False;False;22.23;122.93;;;;0
34;300.1;False;False;7.31;20.91;;;;0
35;300.2;False;True;19.25;8.43;;;;0
36;288.1;False;False;23.8;25.32;;;;0
37;288.2;False;False;24.38;75.17;;;;0
38;273.1;False;False;23.17;26.62;;;;0
39;273.3;False;True;11.48;6.7;;;;0
40;303.2;False;False;11.18;17.89;;;;0
41;303.1;False;True;23.41;22.04;;;14.39;3
42;314.2;False;False;18.84;20.9;;;;0
43;314.1;False;False;15.87;52.76;;;;0
44;290.1;False;False;16.41;41.06;;;;0
45;290.2;False;False;259.55;357.67;18.21;116.28;18.21;1
46;292.2;True;False;282.87;284.26;166.11;167.73;;0
47;292.1;False;True;16.13;13.21;;;;0
48;271.1;False;False;13.27;14.58;;;;0
49;271.3;False;False;21.65;52.55;;;;0
50;277.2;False;True;19.01;14.61;;;;0
51;277.1;False;False;10.1;21.92;;;;0
52;282.1;False;True;15.68;10.33;;;;0
53;282.2;False;False;16.36;18.42;;;;0
54;310.2;False;True;22.69;20.6;;;;0
55;310.1;False;False;22.97;144.96;;;;0
56;279.1;False;False;15.43;34.63;;;;0
57;279.2;False;True;28.17;12.07;;;;0
58;285.1;False;False;13.5;34.17;;;;0
59;285.2;False;False;8.56;323.61;;;;0
