;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg
0;0;Cough...cough...;230;346;379;370;358.0;;1;[1460];[33.27614843712532];0.5015;0.5015;1;13.4161;14.3837;33.27614843712532;13.9;0.5015
1;1;Let's;389;346;428;365;355.5;2.5;1;[1394, 1404];[0.0, 11.545279999999991];0.8737;0.3397;2;12.6802;14.222;35.52735999999999;13.45;0.4368
2;2;be;437;346;457;365;355.5;0.0;1;[1393, 1405];[23.67494491773106, 11.917608677180157];0.5009;0.2421;2;12.8544;14.5702;57.14336754873311;13.71;0.2505
3;3;serious;465;346;527;365;355.5;0.0;1;[1395, 1402, 1447, 1455];[0.0, 17.02976000000001, 12.651200000000017, 0.424000000000035];1.5346;0.3718;4;14.1264;14.9833;80.96755680400395;14.55;0.3837
4;4;and;535;346;566;365;355.5;0.0;1;[1451, 1452];[2.140800000000013, 2.3088000000000193];0.8084;0.5335;2;15.5503;16.3575;147.11117311343017;15.95;0.4042
5;5;not;576;347;603;365;356.0;0.5;1;[1403, 1406, 1448, 1456];[24.020159999999976, 12.899519999999995, 0.0, 0.0];1.2607;0.2911;4;13.9944;14.3802;187.15970414277115;14.19;0.3152
6;6;laugh.;611;346;664;370;358.0;2.0;1;[1396, 1457, 1458];[25.59039999999999, 17.14240000000001, 17.50079999999997];1.3749;0.2587;3;15.2834;14.9779;220.8765656533296;15.13;0.4583
7;7;A;673;347;684;365;356.0;2.0;1;[1397, 1450, 1459];[21.41919999999999, 5.373119999999972, 14.650559999999984];2.4426;1.1971;3;15.301;16.1789;282.9957138452977;15.74;0.8142
8;8;child;692;346;731;365;355.5;0.5;1;[1407, 1449];[37.35615999999999, 11.909760000000006];1.2455;0.4045;2;14.4358;14.9848;301.8548201616294;14.71;0.6228
9;9;falling;740;346;792;370;358.0;2.5;1;[1398];[22.651520000000005];0.3881;0.3881;1;16.0379;16.1162;349.09413007784826;16.08;0.3881
10;10;down;801;346;847;365;355.5;2.5;1;[1401, 1408];[35.3184, 25.10912000000002];0.5173;0.2426;2;14.1366;14.7325;410.2978367659397;14.43;0.2587
11;11;and;856;346;887;365;355.5;0.0;1;[1399];[19.210879999999975];0.5339;0.5339;1;14.5195;14.8367;465.1156446033714;14.68;0.5339
12;12;hitting;896;346;951;370;358.0;2.5;1;[1400, 1409];[18.05376000000001, 19.722879999999975];0.8901;0.5339;2;14.777;14.6681;504.68092222196157;14.72;0.4451
13;13;their;960;346;1001;365;355.5;2.5;1;[];[];0.0;0.0;0;;;568.8672756054875;;
14;14;face;1008;346;1043;365;355.5;0.0;1;[1410, 1411];[16.152729957551987, 28.3599999999999];0.7442;0.3558;2;13.2016;13.4758;616.7808606424244;13.34;0.3721
15;15;could;208;450;253;470;460.0;104.5;2;[];[];0.0;0.0;0;;;147.77080515044096;;
16;16;feel;262;450;292;470;460.0;0.0;2;[];[];0.0;0.0;0;;;111.78658799162622;;
17;17;scared,;301;450;364;475;462.5;2.5;2;[1412, 1413];[2.8407344447519107, 0.0];0.9381;0.3074;2;13.0549;13.958;56.96683644726639;13.51;0.4691
18;18;upset,;374;452;427;475;463.5;1.0;2;[];[];0.0;0.0;0;;;51.47264000000001;;
19;19;and;436;450;466;470;460.0;3.5;2;[1414];[0.0];0.3398;0.3398;1;13.6401;14.0695;66.0469503823576;13.85;0.3398
20;20;in;476;451;489;470;460.5;0.5;2;[];[];0.0;0.0;0;;;97.789002115829;;
21;21;pain.;499;451;540;475;463.0;2.5;2;[1415];[0.0];0.42;0.42;1;14.6254;15.3608;118.0868398036361;14.99;0.42
22;22;Falls;550;450;588;470;460.0;3.0;2;[1416];[6.351999999999975];0.5502;0.5502;1;14.4123;14.425;165.33224142559013;14.42;0.5502
23;23;can;596;455;625;470;462.5;2.5;2;[];[];0.0;0.0;0;;;210.91254598721628;;
24;24;be;634;450;654;470;460.0;2.5;2;[];[];0.0;0.0;0;;;246.76687876376283;;
