;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg
0;0;Please;325;503;380;522;512.5;;1;[];[];0.0;0.0;0;;;426.5170779852718;;
1;1;clarify;388;503;441;527;515.0;2.5;1;[4577.0];[33.01535999999999];0.3239;0.3239;1;11.8591;10.9999;365.3156906198999;11.43;0.3239
2;2;which;449;503;498;522;512.5;2.5;1;[];[];0.0;0.0;0;;;308.94342558645656;;
3;3;system's;507;503;584;527;515.0;2.5;1;[4578.0];[19.447360000000003];0.2588;0.2588;1;9.9663;7.1576;222.90288516099207;8.56;0.2588
4;4;startup;592;504;655;527;515.5;0.5;1;[4579.0];[22.81632000000002];0.2264;0.2264;1;9.3285;9.8516;152.60297838867498;9.59;0.2264
5;5;process;664;508;730;527;517.5;2.0;1;[];[];0.0;0.0;0;;;79.7021267789913;;
6;6;you;738;508;768;527;517.5;0.0;1;[];[];0.0;0.0;0;;;45.45225421356349;;
7;7;want;777;504;820;522;513.0;4.5;1;[4582.0];[30.82687999999996];0.3237;0.3237;1;10.7824;9.2051;30.82687999999996;9.99;0.3237
8;8;me;828;508;854;522;515.0;2.0;1;[4580.0];[10.090239999999994];0.2589;0.2589;1;8.7655;8.2904;38.22282319628413;8.53;0.2589
9;9;to;862;504;878;522;513.0;2.0;1;[4581.0];[0.0];0.1459;0.1459;1;10.0604;8.8148;64.44901405835775;9.44;0.1459
10;10;explain.;886;503;954;527;515.0;2.0;1;[];[];0.0;0.0;0;;;84.63527522903433;;
