;mean;std
31;0.23813536390282855;0.15462479265879978
30;0.19856804456826585;0.1594140240710776
29;0.17273062171023557;0.16588525177656976
28;0.21664403927210651;0.1604805822216021
27;0.21304112784238416;0.15436920889938596
26;0.22910559381002957;0.15722069253581689
25;0.2316334559203654;0.15979402432626139
24;0.2284933465327279;0.1553473858975011
23;0.20958864856772996;0.1562556000506251
22;0.2171221732834503;0.15738199649371123
21;0.21762048255586156;0.16160201131720506
20;0.22133990200311937;0.1586522811448552
19;0.24207807112245183;0.16223169871100374
18;0.22328194437109453;0.1579428881857281
17;0.2418749668011896;0.1580478567375545
16;0.2427339944683419;0.15543514825952
15;0.2408769849400298;0.15701861670129963
14;0.22200984466753415;0.15893891249381195
13;0.21061945456288175;0.16011559899064665
12;0.22877468033313686;0.15889785148186336
11;0.18200479567355998;0.1522604798854043
10;0.22197818321928103;0.15519571981041905
9;0.212914732098178;0.15436224909837182
8;0.22392460108348522;0.15749491719066935
7;0.2328367994693897;0.15460074577524838
6;0.21321192795191035;0.15234160496613855
5;0.1922645106983995;0.155654984337439
4;0.24531044576784097;0.1499238048325375
3;0.25752768668869414;0.15370301204916362
2;0.17750556586787364;0.1528850285777965
1;0.1956828741650046;0.15529087528918306
0;-0.026598582501628075;0.17670396751691955
