;number;text;x1;y1;x2;y2;fixations;fix_duration;y;diff_y;line;distance;fix_number;fix_duration_avg;pupil_l;pupil_r;pupil
0;0;I;49;305;59;323;[];0.0;314.0;;1;719.977971264788;0;;;;
1;1;would;77;304;150;323;[1762, 1771, 1772, 1774];0.9871;313.5;0.5;1;645.5158426456782;4;0.2468;20.3051;19.5062;19.91
2;2;think;169;304;240;323;[1763, 1773, 1782];0.6794;313.5;0.0;1;576.559158375409;3;0.2265;17.2768;16.6132;16.94
3;3;the;259;304;300;323;[1764, 1783];0.5986;313.5;0.0;1;534.0789296598023;2;0.2993;16.849;15.6089;16.23
4;4;most;317;306;374;323;[];0.0;314.5;1.0;1;486.7930146443763;0;;;;
5;5;important;394;304;524;328;[1765, 1784, 1785];0.7761;316.0;1.5;1;410.88447902854637;3;0.2587;16.0622;15.3508;15.71
6;6;part;544;306;599;328;[1786];0.2913;317.0;1.0;1;391.88755416134353;1;0.2913;16.1152;15.4408;15.78
7;7;is;619;304;644;323;[];0.0;313.5;3.5;1;392.06723799185255;0;;;;
8;8;the;664;304;705;323;[1766];0.2908;313.5;0.0;1;391.5992838432675;1;0.2908;8.2873;16.7222;12.5
9;9;quality;723;304;825;328;[1767, 1775, 1776];0.8731;316.0;2.5;1;391.200960002094;3;0.291;19.1065;17.4426;18.27
10;10;of;843;305;870;323;[];0.0;314.0;2.0;1;430.9162971002141;0;;;;
11;11;conversation;889;304;1064;323;[1768, 1769, 1770, 1777, 1778, 1780, 1781];1.8755;313.5;0.5;1;452.05021746102494;7;0.2679;17.7018;16.7915;17.25
12;12;data;1083;304;1140;323;[];0.0;313.5;0.0;1;574.1151584016571;0;;;;
13;13;used;1159;304;1215;323;[];0.0;313.5;0.0;1;631.8217146526067;0;;;;
14;14;for;56;404;96;422;[1795];0.2427;413.0;99.5;2;638.195396337642;1;0.2427;18.2078;18.8143;18.51
15;15;training;115;403;232;427;[1796];0.2752;415.0;2.0;2;518.2843658712463;1;0.2752;14.283;14.3593;14.32
16;16;as;250;408;276;422;[];0.0;415.0;0.0;2;485.2966967810105;0;;;;
17;17;opposed;295;403;396;427;[1797];0.4856;415.0;0.0;2;392.5450036703562;1;0.4856;15.138;14.9984;15.07
18;18;to;415;405;441;422;[];0.0;413.5;1.5;2;367.38596041024755;0;;;;
19;19;only;460;403;517;427;[1798];0.2266;415.0;1.5;2;322.61110319789054;1;0.2266;15.2882;14.9672;15.13
20;20;quantity,.;535;403;662;427;[1787, 1788, 1799, 1800];1.2131;415.0;0.0;2;287.6007717419409;4;0.3033;15.3816;15.0502;15.22
21;21;""",Garbage";687;403;801;427;[1789, 1790, 1801];0.8894;415.0;0.0;2;288.58413661627344;3;0.2965;16.3667;14.6158;15.49
22;22;in,,;821;403;857;426;[1791];0.4529;414.5;0.5;2;328.93764866089737;1;0.4529;16.4122;16.2064;16.31
23;23;garbage;879;403;981;427;[1792, 1794, 1802];0.9055;415.0;0.5;2;359.5779357893918;3;0.3018;16.0541;15.7766;15.92
24;24;"out,""";1000;404;1054;422;[1779, 1793, 1803, 1804];1.2292;413.0;2.0;2;446.1721863883494;4;0.3073;14.6774;15.4264;15.05
25;25;is;1076;403;1101;422;[];0.0;412.5;0.5;2;506.00798798690914;0;;;;
26;26;a;1120;408;1131;422;[];0.0;415.0;2.5;2;542.5028109665055;0;;;;
27;27;well-;1148;403;1219;422;[];0.0;412.5;2.5;2;566.2825195135022;0;;;;
28;28;known;20;502;90;521;[];0.0;511.5;99.0;3;604.9809060677535;0;;;;
29;29;statement;110;504;240;521;[];0.0;512.5;1.0;3;465.35093929910573;0;;;;
30;30;for;260;503;300;521;[];0.0;512.0;0.5;3;411.54749022021747;0;;;;
31;31;machine;318;502;420;521;[];0.0;511.5;0.5;3;310.82312768930177;0;;;;
32;32;learning,,;439;502;566;526;[];0.0;514.0;2.5;3;212.15790512389583;0;;;;
33;33;and;589;502;630;521;[];0.0;511.5;2.5;3;196.41908437460955;0;;;;
34;34;so;650;507;675;521;[];0.0;514.0;2.5;3;193.59839999999997;0;;;;
35;35;to;694;504;720;521;[];0.0;512.5;1.5;3;196.0381409485409;0;;;;
36;36;ensure;739;507;825;521;[];0.0;514.0;1.5;3;207.9202556427824;0;;;;
37;37;that;844;502;900;521;[];0.0;511.5;2.5;3;264.9161239082287;0;;;;
38;38;an;919;507;945;521;[];0.0;514.0;2.5;3;320.82760589849494;0;;;;
39;39;AI;962;503;989;521;[];0.0;512.0;2.0;3;356.06306282252865;0;;;;
40;40;chatbot;1009;502;1110;521;[];0.0;511.5;0.5;3;396.33333534609477;0;;;;
41;41;performs;1129;503;1245;526;[];0.0;514.5;3.0;3;502.56224361422136;0;;;;
42;42;well,,;63;601;132;623;[];0.0;612.0;97.5;4;539.0080807432854;0;;;;
43;43;it;155;601;180;620;[1805];0.3718;610.5;1.5;4;492.3415212091704;1;0.3718;15.4987;15.6079;15.55
44;44;is;200;601;225;620;[];0.0;610.5;0.0;4;448.26337515634714;0;;;;
45;45;critical;245;601;360;620;[1806];0.2749;610.5;0.0;4;317.58415185043475;1;0.2749;14.1479;14.6228;14.39
46;46;that;380;601;435;620;[1807];0.4529;610.5;0.0;4;247.00099899911336;1;0.4529;14.4034;14.0553;14.23
47;47;the;455;601;496;620;[];0.0;610.5;0.0;4;192.07810262119938;0;;;;
48;48;dataset;514;601;615;620;[1808];0.2588;610.5;0.0;4;106.15560986853212;1;0.2588;15.4722;15.5396;15.51
49;49;used;635;601;691;620;[1809];0.4211;610.5;0.0;4;94.59839999999997;1;0.4211;17.1677;16.3835;16.78
50;50;to;710;603;736;620;[];0.0;611.5;1.0;4;105.55611543894553;0;;;;
51;51;train;755;601;825;620;[];0.0;610.5;1.0;4;131.84071262914196;0;;;;
52;52;it;845;601;870;620;[];0.0;610.5;0.0;4;204.9676401448775;0;;;;
53;53;contains;890;601;1005;620;[1810];0.3562;610.5;0.0;4;245.76739715950933;1;0.3562;16.6897;16.3493;16.52
54;54;as;1025;606;1050;620;[];0.0;613.0;2.5;4;373.9936543667018;0;;;;
55;55;much;1068;601;1125;620;[1811];0.4844;610.5;2.5;4;415.73766428669893;1;0.4844;17.1718;16.2033;16.69
56;56;high-;1145;601;1214;625;[];0.0;613.0;2.5;4;490.0917766159314;0;;;;
57;57;quality;454;700;556;724;[1812];0.4207;712.0;99.0;5;107.168;1;0.4207;15.9399;16.1656;16.05
58;58;data;574;700;630;719;[];0.0;709.5;2.5;5;33.168000000000006;0;;;;
59;59;as;649;705;675;719;[1813];0.4529;712.0;2.5;5;0.0;1;0.4529;16.3733;9.8468;13.11
60;60;possible,.;694;700;821;724;[];0.0;712.0;0.0;5;30.831999999999994;0;;;;
