;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;970.1;False;False;22.86;42.5;;;21.91;1
1;970.2;False;False;15.47;23.52;;;;0
2;968.2;False;False;22.33;38.3;;;;0
3;968.1;False;False;18.84;32.92;;;;0
4;962.4;False;True;24.06;18.65;;;16.52;2
5;962.1;False;False;18.57;30.56;;;;0
6;958.1;False;False;20.99;50.11;;;;0
7;958.3;False;False;20.05;167.15;;;;0
8;949.3;False;False;18.38;36.58;;;16.59;1
9;949.1;False;False;19.6;25.72;;;;0
10;973.1;False;False;15.38;25.79;;;;0
11;973.2;False;False;12.86;47.16;;;;0
12;988.2;False;False;13.42;257.36;;;;0
13;988.1;False;False;15.85;78.4;;;;0
14;969.3;False;False;13.35;19.77;;;;0
15;969.1;False;False;13.96;15.61;;;;0
16;947.1;False;True;14.95;14.05;;;;0
17;947.2;False;False;12.88;63.38;;;;0
18;948.3;False;False;12.1;114.21;;;;0
19;948.1;False;False;1.7;90.42;;;;0
20;986.1;False;False;16.82;20.51;;;;0
21;986.2;False;False;17.21;42.48;;;;0
22;967.3;False;False;14.92;15.71;;;;0
23;967.1;False;False;15.89;20.07;;;;0
24;974.2;False;False;25.93;32.07;;;;0
25;974.1;False;False;15.89;37.15;;;;0
26;990.1;False;False;15.57;26.92;;;;0
27;990.3;False;False;22.53;163.05;;;;0
28;979.2;False;False;6.4;80.21;;;;0
29;979.1;False;False;7.94;91.83;;;;0
30;950.1;False;False;11.26;46.09;;;;0
31;950.3;False;False;18.55;100.85;;;;0
32;972.3;False;False;22.23;29.14;;;;0
33;972.1;False;True;29.48;3.25;;;;0
34;953.1;False;True;25.05;20.35;;;;0
35;953.3;False;True;17.24;9.14;;;;0
36;954.1;False;False;16.55;34.68;;;;0
37;954.3;False;False;12.97;29.12;;;;0
38;960.3;False;False;16.56;40.41;;;;0
39;960.1;False;True;9.79;6.31;;;;0
