;number;text;x1;y1;x2;y2;fixations;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;pupil;fix_duration_avg;fix_distance
0;0;I'm;207;136;234;155;[];0.0;0.0;0;;;145.5;;1;633.2875052045616;;;[]
1;1;powered;244;136;318;161;[4489, 4490];0.5662;0.2102;2;12.391;14.2813;148.5;3.0;1;581.2721523763354;13.34;0.2831;[95.83967999999999, 96.09568000000002]
2;2;by;328;136;347;161;[];0.0;0.0;0;;;148.5;0.0;1;566.9419539319855;;;[]
3;3;a;355;141;364;156;[];0.0;0.0;0;;;148.5;0.0;1;563.5372469750492;;;[]
4;4;Large;373;137;421;161;[4491];0.5015;0.5015;1;11.2457;13.7912;149.0;0.5;1;535.7786512434194;12.52;0.5015;[47.66047999999998]
5;5;Language;430;137;515;161;[4492];0.0969;0.0969;1;10.7409;8.509;149.0;0.0;1;509.11557344891503;9.62;0.0969;[10.679360000000031]
6;6;Model;523;136;573;156;[];0.0;0.0;0;;;146.0;3.0;1;505.80527155044325;;;[]
7;7;and;582;136;613;156;[];0.0;0.0;0;;;146.0;0.0;1;503.96786874583347;;;[]
8;8;was;622;141;655;156;[];0.0;0.0;0;;;148.5;2.5;1;503.99122683655673;;;[]
9;9;trained;663;136;724;156;[4494];0.259;0.259;1;9.9748;12.521;146.0;2.5;1;506.1268741414722;11.25;0.259;[66.73664000000002]
10;10;and;733;136;764;156;[];0.0;0.0;0;;;146.0;0.0;1;517.3176323384092;;;[]
11;11;fine;772;136;804;156;[4495, 4496, 4497];1.0188;0.5334;3;11.8005;13.894;146.0;0.0;1;527.4936556284043;12.85;0.3396;[90.22852942700555, 0.0, 15.775999999999982]
12;12;tuned;812;136;861;156;[];0.0;0.0;0;;;146.0;0.0;1;540.6608888464355;;;[]
13;13;to;870;138;886;156;[4498];0.2585;0.2585;1;12.4512;15.6363;147.0;1.0;1;564.2622836307754;14.04;0.2585;[29.804160000000024]
14;14;act;895;138;920;156;[4499, 4501];0.4363;0.2102;2;12.4284;14.5141;147.0;0.0;1;575.9403829635647;13.47;0.2181;[45.2801213465512, 0.0]
15;15;as;928;141;946;156;[];0.0;0.0;0;;;148.5;1.5;1;592.6193151832107;;;[]
