;number;text;x1;y1;x2;y2;fixations;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;pupil;fix_duration_avg;fix_distance
0;0;This;224;346;260;365;[1579.0];0.4852;0.4852;1;16.4971;19.1393;355.5;;1;511.7239771731694;17.82;0.4852;[19.317439999999976]
1;1;is;269;346;281;365;[1580.0];0.3237;0.3237;1;16.658;19.2486;355.5;0.0;1;495.105105622964;17.95;0.3237;[1.89046060673056]
2;2;an;289;351;309;365;[1578.0];0.3234;0.3234;1;15.9263;18.3532;358.0;2.5;1;473.48838213194455;17.14;0.3234;[17.545920000000024]
3;3;example;317;346;392;370;[];0.0;0.0;0;;;358.0;0.0;1;410.22763633612783;;;[]
4;4;of;400;346;417;365;[];0.0;0.0;0;;;355.5;2.5;1;397.6419173250305;;;[]
5;5;the;424;346;451;365;[1581.0];0.6954;0.6954;1;17.962;19.5195;355.5;0.0;1;377.0233435928422;18.74;0.6954;[0.294399999999996]
6;6;fallacy;459;346;516;370;[];0.0;0.0;0;;;358.0;2.5;1;339.10778937371276;;;[]
7;7;of;523;346;540;365;[];0.0;0.0;0;;;355.5;2.5;1;333.5914459543685;;;[]
8;8;anecdotal;547;346;631;365;[1582.0, 1583.0];0.9706;0.6632;2;17.861;18.8918;355.5;0.0;1;310.0102346922217;18.38;0.4853;[0.0, 0.0]
9;9;evidence.;640;346;724;365;[1584.0];0.3881;0.3881;1;17.53;18.1724;355.5;0.0;1;307.68607999999995;17.85;0.3881;[0.0]
10;10;Just;733;347;768;365;[];0.0;0.0;0;;;356.0;0.5;1;314.2942366858266;;;[]
11;11;because;776;346;847;365;[1585.0, 1587.0];0.6633;0.4692;2;16.8296;18.7309;355.5;0.5;1;325.7965033789135;17.78;0.3317;[7.049919999999986, 34.07328000000001]
12;12;one;855;351;886;365;[];0.0;0.0;0;;;358.0;2.5;1;359.5939443510226;;;[]
13;13;person;895;351;953;370;[1586.0];0.3562;0.3562;1;16.6889;16.3794;360.5;2.5;1;377.81579640603485;16.53;0.3562;[18.403200000000027]
14;14;is;963;346;975;365;[];0.0;0.0;0;;;355.5;5.0;1;425.6426332193785;;;[]
15;15;healthy;983;346;1048;370;[];0.0;0.0;0;;;358.0;2.5;1;436.21577964801594;;;[]
16;16;despite;229;450;292;475;[];0.0;0.0;0;;;462.5;104.5;2;425.58848294323747;;;[]
17;17;not;301;452;329;470;[1588.0];0.3075;0.3075;1;16.4145;17.9132;461.0;1.5;2;395.7355015839827;17.16;0.3075;[12.90816000000001]
18;18;being;337;450;383;475;[];0.0;0.0;0;;;462.5;1.5;2;347.5811410504407;;;[]
19;19;vaccinated;392;450;485;470;[1589.0];0.3398;0.3398;1;16.5789;17.1301;460.0;2.5;2;273.67322122181844;16.85;0.3398;[0.0]
20;20;does;494;450;535;470;[];0.0;0.0;0;;;460.0;0.0;2;242.91577143925088;;;[]
21;21;not;544;452;571;470;[];0.0;0.0;0;;;461.0;1.0;2;225.08669621709402;;;[]
22;22;necessarily;579;450;677;475;[1590.0];0.3557;0.3557;1;16.9153;17.3922;462.5;1.5;2;197.68607999999995;17.15;0.3557;[0.0]
23;23;mean;685;455;733;470;[1591.0];0.3727;0.3727;1;16.6348;16.54;462.5;0.0;2;203.32533539607496;16.59;0.3727;[5.153092465539441]
24;24;that;741;450;776;470;[];0.0;0.0;0;;;460.0;2.5;2;215.1314872674997;;;[]
25;25;vaccines;783;451;858;470;[1592.0, 1595.0];0.4199;0.3235;2;17.0943;17.8577;460.5;0.5;2;232.60015136264718;17.48;0.21;[0.0, 0.0]
26;26;are;866;455;894;470;[1593.0];0.2425;0.2425;1;17.2481;17.5499;462.5;2.0;2;282.7262931068251;17.4;0.2425;[0.0]
27;27;unnecessary;902;455;1012;475;[1594.0];0.485;0.485;1;17.2076;17.0186;465.0;2.5;2;305.64725553148094;17.11;0.485;[0.0]
28;28;for;1020;450;1045;470;[];0.0;0.0;0;;;460.0;5.0;2;405.41356663773155;;;[]
29;29;everyone.;222;560;309;580;[1596.0];0.4207;0.4207;1;17.2624;17.4853;570.0;110.0;3;371.633197674705;17.37;0.4207;[9.445119999999974]
30;30;The;318;555;350;575;[1597.0];0.5985;0.5985;1;17.8078;17.918;565.0;5.0;3;333.51633725190493;17.86;0.5985;[3.1094399999999496]
31;31;scientific;358;555;435;575;[];0.0;0.0;0;;;565.0;0.0;3;253.46975206901192;;;[]
32;32;consensus;443;560;534;575;[1598.0];0.5172;0.5172;1;18.0431;19.0553;567.5;2.5;3;166.54661333670637;18.55;0.5172;[0.0]
33;33;is;543;560;555;575;[];0.0;0.0;0;;;567.5;0.0;3;150.04469738689994;;;[]
34;34;that;562;555;597;575;[];0.0;0.0;0;;;565.0;2.5;3;121.28761195574091;;;[]
35;35;vaccines;605;560;680;575;[1599.0];0.3234;0.3234;1;17.5524;17.9967;567.5;2.5;3;97.68607999999995;17.77;0.3234;[6.36415999999997]
36;36;are;688;560;715;575;[];0.0;0.0;0;;;567.5;0.0;3;99.53782001795292;;;[]
37;37;effective;723;555;798;575;[];0.0;0.0;0;;;565.0;2.5;3;111.67141807072386;;;[]
38;38;in;807;560;820;575;[];0.0;0.0;0;;;567.5;2.5;3;169.16575544100644;;;[]
39;39;preventing;829;557;923;580;[1600.0];0.3234;0.3234;1;17.5497;17.6972;568.5;1.0;3;185.00283677264628;17.62;0.3234;[0.0]
40;40;the;932;555;959;575;[];0.0;0.0;0;;;565.0;3.5;3;280.6593180600395;;;[]
41;41;spread;967;555;1026;580;[1601.0];0.4688;0.4688;1;15.0353;15.2706;567.5;2.5;3;312.18667494613925;15.15;0.4688;[11.242942248361832]
42;42;of;1035;555;1052;575;[];0.0;0.0;0;;;565.0;2.5;3;378.9187184792095;;;[]
43;43;diseases;469;660;544;680;[1602.0];0.4529;0.4529;1;18.3104;18.3431;670.0;105.0;4;124.88959999999997;18.33;0.4529;[0.0]
44;44;and;552;660;583;680;[];0.0;0.0;0;;;670.0;0.0;4;85.88959999999997;;;[]
45;45;protecting;592;661;681;685;[1603.0, 1604.0];0.7601;0.4207;2;17.7221;18.068;673.0;3.0;4;0.0;17.9;0.3801;[4.411200000000008, 0.0]
46;46;public;690;660;742;685;[];0.0;0.0;0;;;672.5;0.5;4;21.110400000000027;;;[]
47;47;health.;750;660;809;680;[];0.0;0.0;0;;;670.0;2.5;4;81.11040000000003;;;[]
